שם מלא,בית ספר,זכר - נקבה,שנת סיום,תאריך לידה,עיר,מגמה,תאריך גיוס,תאריך שחרור
ריהאם ברששת,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2000-09-25,בית שמש,אוטוטרוניקה,,
חסן סויסה,ירושלים בית הערבה,זכר,"תשפ""ג",2001-11-18,מעלה אדומים,התמחות יישומי אוטו-טק,,
עלי חיים,אורט אדיבי אשקלון,זכר,"תשפ""ד",2006-03-25,אפרת,מערכות הספק פיקוד ובקרה,,
אביב עואד,אורט אדיבי אשקלון,זכר,"תשפ""ג",2002-08-31,מבשרת ציון,מסגרות מבנים,2020-08-13,
יוסף קלימי,ירושלים בית הערבה,זכר,"תשע""ט",2003-05-08,צור הדסה,מערכות הספק פיקוד ובקרה,,
הראל מזרחי,אורט אדיבי אשקלון,זכר,"תשע""ח",2004-08-17,ירושלים,,,
דנה סלומון,ירושלים בית הערבה,נקבה,"תשפ""ה",2006-01-03,אבן ספיר,התמחות יישומי אוטו-טק,,
ניצן אלבז,אורט אדיבי אשקלון,נקבה,"תשפ""א",2002-11-21,ירושלים,מחשבים,2023-06-22,
שי שרעבי,ירושלים בית הערבה,,"תשפ""א",2002-11-07,אבן ספיר,מחשבים,,
מאהר מלכה,אורט אדיבי אשקלון,זכר,"תשפ""א",2005-07-14,ירושלים,התמחות יישומי אוטו-טק,,
סאמר בן דוד,ירושלים בית הערבה,זכר,"תשפ""ב",2002-08-23,מעלה אדומים,יישומי עיצוב שיער וטיפוח החן,,
עידו מוסקוביץ,עכו מרום,זכר,,2000-07-31,הר אדר,מחשבים,2020-07-08,
מאהר שרעבי,עכו מרום,זכר,"תשפ""ד",2000-10-18,ירושלים,מחשבים,,
נור עוזרי,מוצקין,נקבה,"תשע""ט",2000-08-11,מודיעין,תקשוב,,
אחמד נסראללה,אורט אדיבי אשקלון,זכר,"תש""ף",2007-01-11,גבע בנימין,מחשבים,,
שי תורגמן,בית שאן,זכר,"תשע""ח",2003-01-11,גבע בנימין,תקשוב,,
אדם אלמוג,ירושלים בית הערבה,זכר,"תשפ""א",2006-07-08,מעלה אדומים,עיצוב שיער,2023-01-01,
נועה חטיב,בית שאן,נקבה,"תשע""ט",2000-03-24,מעלה אדומים,אוטוטרוניקה,,
נתנאל נאור,עכו מרום,זכר,"תשע""ח",2005-03-25,מודיעין,מחשבים,,
שקד אברהם,ירושלים בית הערבה,נקבה,"תשפ""ד",2005-07-22,מבשרת ציון,,,
רוני סלומון,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2002-02-22,מעלה אדומים,עיצוב(חנמ),,
עלי גבאי,עכו מרום,זכר,"תשפ""ג",2003-08-21,מבשרת ציון,,,
אלה אזולאי,ירושלים בית הערבה,נקבה,"תשפ""ה",2000-12-20,צור הדסה,עיצוב,,
אור אזולאי,ירושלים בית הערבה,נקבה,"תשפ""ד",2004-10-07,מבשרת ציון,יישומי עיצוב שיער וטיפוח החן,,
אורי עואד,ירושלים בית הערבה,זכר,"תשפ""ה",2002-06-16,מבשרת ציון,תחזוקת מערכות מכניות,,
ליאור טהא,עכו מרום,נקבה,"תשפ""ד",2003-08-20,גבעת זאב,אוטוטרוניקה,,
טל יפרח,עכו מרום,נקבה,"תשפ""ב",2006-12-12,צור הדסה,עיצוב שיער,,
תומר ביטון,ירושלים בית הערבה,זכר,"תשפ""ה",2000-07-21,צור הדסה,תחזוקת מערכות מכניות,,
יובל אגבאריה,ירושלים בית הערבה,זכר,"תשפ""ב",2001-03-07,מודיעין,אוטוטרוניקה,,
רועי אשכנזי,עכו מרום,זכר,"תשפ""ג",2004-08-09,מודיעין,תחזוקת מערכות מכניות(חנמ),,
נועם אלבז,ירושלים בית הערבה,זכר,,2005-07-09,,תחזוקת מערכות מכניות,,
ניצן וקנין,אורט אדיבי אשקלון,נקבה,"תשפ""א",2000-12-27,צור הדסה,,,
איתי לוי,עכו מרום,זכר,"תשפ""ב",2001-07-14,מודיעין,מחשבים,,
אלעד עואד,אורט אדיבי אשקלון,זכר,"תשפ""ב",2006-09-23,גבעת זאב,התמחות יישומי אוטו-טק,2022-01-07,
אסף לוי,עכו מרום,זכר,"תשע""ט",2000-12-13,הר אדר,התמחות יישומי אוטו-טק,,
יהונתן דהן,אורט אדיבי אשקלון,זכר,,2004-12-27,ירושלים,מחשבים,,
יובל בן דוד,ירושלים בית הערבה,זכר,"תשפ""ה",2007-09-06,צור הדסה,,,
עלי פרידמן,אורט אדיבי אשקלון,זכר,"תשפ""ג",2006-07-17,הר אדר,יישומי עיצוב שיער וטיפוח החן,,
תמר דהן,ירושלים בית הערבה,נקבה,"תשפ""ג",2004-12-08,אבן ספיר,תקשוב,,
סאמר עבד אלחק,ירושלים בית הערבה,זכר,"תשפ""ב",2007-04-07,צור הדסה,תקשוב,,
אלון שפירא,עכו מרום,זכר,"תשפ""ה",2004-10-26,אבן ספיר,תקשוב,,
סאמר כרמלי,עכו מרום,זכר,"תשפ""א",2007-01-22,מודיעין,יישומי עיצוב שיער וטיפוח החן,,
עמית בן דוד,ירושלים בית הערבה,זכר,"תשפ""ב",2004-10-17,צור הדסה,עיצוב(חנמ),,
סלמא סרסור,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2006-02-27,הר אדר,מערכות הספק פיקוד ובקרה,,
שקד סלומון,ירושלים בית הערבה,נקבה,"תשע""ט",2005-12-08,צור הדסה,תקשוב,,
יהונתן ברק,צור ברק,זכר,"תשפ""ג",2003-04-13,גבע בנימין,מחשבים,,
אסף סעדה,ירושלים בית הערבה,זכר,"תש""ף",2003-03-05,,מערכות הספק פיקוד ובקרה,,
רן ביטון,ירושלים בית הערבה,זכר,"תשפ""ג",2003-03-04,,מערכות הספק פיקוד ובקרה,,
אלעד שטרית,אורט אדיבי אשקלון,זכר,"תשפ""ד",2002-10-10,,,2024-07-07,
רן גבאי,עכו מרום,זכר,"תשפ""ה",2006-02-01,מעלה אדומים,מחשבים,2024-04-27,
גיא בן דוד,אורט אדיבי אשקלון,זכר,"תשפ""ג",2003-01-07,בית שמש,תחזוקת מערכות מכניות,2021-09-18,
תומר רחמים,אורט אדיבי אשקלון,זכר,"תשפ""ג",2000-12-12,גבע בנימין,התמחות יישומי אוטו-טק,,
מרים אזולאי,מוצקין,נקבה,"תשפ""ג",2006-08-31,מודיעין,,,
מרים אברהם,עכו מרום,נקבה,"תש""ף",2004-04-30,קרית יערים,מחשבים,,
כרים גבאי,ירושלים בית הערבה,זכר,"תשפ""ה",2003-02-02,ירושלים,התמחות יישומי אוטו-טק,,
עומר דוד,ירושלים בית הערבה,זכר,"תשפ""ד",2007-02-07,מבשרת ציון,,,
סאמר טהא,מוצקין,זכר,"תשע""ט",2003-08-24,אפרת,מחשבים,,
אורי אלבז,ירושלים בית הערבה,זכר,"תשע""ח",2002-09-10,מבשרת ציון,אוטוטרוניקה,,
שי אברהם,אורט אדיבי אשקלון,זכר,"תשפ""ה",2003-04-08,מבשרת ציון,,,
שחר לביא,מוצקין,זכר,"תש""ף",2006-11-23,צור הדסה,תקשוב,,
מוחמד עמר,אורט אדיבי אשקלון,זכר,"תשפ""ה",2001-02-22,,,,
שירה רוזן,עכו מרום,נקבה,"תשפ""א",2002-03-26,מעלה אדומים,מערכות הספק פיקוד ובקרה,,
עומר חדד,ירושלים בית הערבה,זכר,"תשפ""ג",2006-04-24,צור הדסה,מחשבים,,2026-09-23
יעל סויסה,מוצקין,נקבה,"תשפ""ד",2003-07-24,מודיעין,,,
אריאל עמר,עכו מרום,זכר,"תש""ף",2002-02-09,ירושלים,עיצוב שיער,,
הראל אבו ראס,מוצקין,זכר,"תשפ""ה",2004-09-24,,מערכות הספק פיקוד ובקרה,,
טל עטיה,עכו מרום,נקבה,"תשפ""ד",2003-06-08,גבע בנימין,תחזוקת מערכות מכניות(חנמ),,2026-06-26
אורי אגבאריה,צור ברק,זכר,"תשפ""ב",2007-01-03,מודיעין,תחזוקת מערכות מכניות(חנמ),,
ספיר סלומון,עכו מרום,נקבה,"תשפ""ב",2005-10-12,מעלה אדומים,עיצוב שיער,,
הראל טויטו,ירושלים בית הערבה,זכר,"תשפ""א",2005-04-11,,מחשבים,,
שירה זכריה,מוצקין,נקבה,"תשפ""ב",2000-11-22,הר אדר,אוטוטרוניקה,,
דנה גבאי,אורט אדיבי אשקלון,נקבה,"תשפ""א",2002-03-05,גבעת זאב,תחזוקת מערכות מכניות,,
עומר עמר,ירושלים בית הערבה,,"תשפ""ד",2007-04-20,הר אדר,אוטוטרוניקה,,
נועה סרסור,צור ברק,נקבה,"תשפ""ד",2005-04-04,בית שמש,מחשבים,,
מוחמד אשכנזי,ירושלים בית הערבה,זכר,"תשפ""ד",2002-04-17,אפרת,יישומי עיצוב שיער וטיפוח החן,,
רוני מזרחי,ירושלים בית הערבה,נקבה,"תשפ""ד",2004-09-30,ירושלים,מערכות סיב````ם תיב````ם,,
אורי גבאי,ירושלים בית הערבה,זכר,"תש""ף",2005-06-23,גבע בנימין,מחשבים,,
יוסף שטרית,ירושלים בית הערבה,זכר,,2002-06-14,מבשרת ציון,בישול מלונאי,2022-07-06,
נור רוזן,עכו מרום,נקבה,"תשפ""ה",2000-12-13,גבע בנימין,מחשבים,,
שקד מזרחי,בית שאן,נקבה,"תשפ""א",2000-04-12,צור הדסה,,,
שקד עוזרי,עכו מרום,נקבה,"תשפ""ה",2002-02-20,צור הדסה,מחשבים,,
גיא פרץ,אורט אדיבי אשקלון,זכר,"תשפ""ב",2003-06-17,הר אדר,התמחות יישומי אוטו-טק,,
מרים ברק,ירושלים בית הערבה,נקבה,"תשפ""ד",2002-02-11,קרית יערים,אוטוטרוניקה,,
גיא חדד,עכו מרום,זכר,"תשפ""ב",2002-10-14,הר אדר,תקשוב(חנמ),,
מתן אלמוג,ירושלים בית הערבה,זכר,"תשפ""ה",2004-01-02,מודיעין,מחשבים,,
יהונתן זכריה,ירושלים בית הערבה,זכר,"תשפ""ב",2006-02-13,ירושלים,מערכות סיב````ם תיב````ם,,
תומר סעדה,אורט אדיבי אשקלון,זכר,"תשפ""ה",2004-05-17,בית שמש,מערכות תיכון וייצר באמצעות מחשב,,
טל חיים,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2003-12-15,בית שמש,עיצוב,,
נועה דהן,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2001-10-24,מודיעין,עיצוב(חנמ),,
אמל סלים,ירושלים בית הערבה,נקבה,"תשפ""ב",2007-01-31,הר אדר,,,
נדב סבג,אורט אדיבי אשקלון,זכר,"תשפ""א",2003-06-04,צור הדסה,מחשבים,,
גיא טהא,ירושלים בית הערבה,זכר,"תשפ""ד",2000-09-01,גבעת זאב,עיצוב,2024-06-17,
יהונתן אשכנזי,אורט אדיבי אשקלון,זכר,"תשפ""ב",2003-07-25,אבן ספיר,עיצוב שיער,,
בר קדוש,ירושלים בית הערבה,זכר,"תשפ""ד",2006-07-16,קרית יערים,תחזוקת מערכות מכניות(חנמ),,
אדם לביא,אורט אדיבי אשקלון,זכר,"תשפ""ג",2006-02-12,אפרת,מערכות סיב````ם תיב````ם,2025-06-26,
נועם חוראני,עכו מרום,זכר,"תש""ף",2001-02-03,קרית יערים,,,
תומר סלים,עכו מרום,זכר,"תש""ף",2003-11-12,בית שמש,עיצוב(חנמ),,
איתי גבאי,עכו מרום,זכר,"תשפ""ב",2001-12-07,אבן ספיר,תקשוב,,
אור סויסה,עכו מרום,נקבה,"תשפ""ב",2002-08-06,אבן ספיר,עיצוב שיער,,
ליאור שרעבי,עכו מרום,זכר,"תשפ""ד",2004-06-20,מעלה אדומים,מחשבים,,
אסף חטיב,אורט אדיבי אשקלון,זכר,"תשפ""ג",2002-03-02,צור הדסה,,,
שחר דוד,ירושלים בית הערבה,זכר,"תש""ף",2002-06-22,גבע בנימין,התמחות יישומי אוטו-טק,,
תמר קדוש,אורט אדיבי אשקלון,נקבה,"תשע""ח",2003-09-22,אפרת,תקשוב,,
אריאל רוזן,אורט אדיבי אשקלון,זכר,"תשפ""ב",2002-03-21,קרית יערים,אוטוטרוניקה,,
אסף מזרחי,אורט אדיבי אשקלון,זכר,"תשפ""ד",2002-01-22,מודיעין,יישומי עיצוב שיער וטיפוח החן,,
יונתן זועבי,אורט אדיבי אשקלון,זכר,"תשפ""א",2003-04-07,אפרת,תקשוב,,
אריאל לוי,אורט אדיבי אשקלון,זכר,"תשפ""ג",2002-08-24,מודיעין,אוטוטרוניקה,,
מרים דראושה,עכו מרום,נקבה,"תש""ף",2001-06-10,מבשרת ציון,תחזוקת מערכות מכניות,2024-09-14,
אלעד סעדה,בית שאן,זכר,"תשפ""ד",2007-09-05,גבעת זאב,אוטוטרוניקה,,
רן בן שימול,מוצקין,זכר,"תש""ף",2000-08-22,גבעת זאב,,,
שי ברק,בית שאן,זכר,"תשפ""ג",2001-04-25,,התמחות יישומי אוטו-טק,,
עידו שרעבי,ירושלים בית הערבה,זכר,"תשפ""ב",2007-09-09,אבן ספיר,תקשוב,,
רועי דוד,ירושלים בית הערבה,זכר,"תשפ""ד",2001-02-02,בית שמש,מערכות סיב````ם תיב````ם,,
כרים שטרית,ירושלים בית הערבה,זכר,"תשפ""ה",2001-01-20,אבן ספיר,עיצוב שיער,,
אריאל אלמוג,עכו מרום,,"תשפ""ג",2004-06-12,,תקשוב,,
מתן גבאי,ירושלים בית הערבה,זכר,"תשפ""ד",2005-04-03,מודיעין,מחשבים,,
יובל סרסור,אורט אדיבי אשקלון,זכר,"תשפ""ה",2002-12-26,אבן ספיר,מערכות סיב````ם תיב````ם,,
רן תורגמן,מוצקין,זכר,"תש""ף",2002-05-18,אבן ספיר,אוטוטרוניקה,,
ניצן מוסקוביץ,עכו מרום,נקבה,"תשפ""ג",2007-10-18,גבעת זאב,עיצוב,,
הראל שרעבי,ירושלים בית הערבה,זכר,"תשפ""ב",2000-06-15,צור הדסה,,,
ריהאם חיים,צור ברק,נקבה,"תשפ""ג",2004-05-12,צור הדסה,עיצוב שיער,,
שי נגר,ירושלים בית הערבה,זכר,"תשפ""ג",2000-11-06,אפרת,אוטוטרוניקה,,
אדם חדד,ירושלים בית הערבה,זכר,"תשפ""ה",2002-04-20,מודיעין,אוטוטרוניקה,,
מאיה אשכנזי,ירושלים בית הערבה,נקבה,"תשפ""ה",2002-06-02,הר אדר,אוטוטרוניקה,,
מאהר רוזן,ירושלים בית הערבה,זכר,"תשפ""ג",2004-08-25,אפרת,,,
אחמד כהן,מוצקין,זכר,"תשפ""ה",2006-11-15,מודיעין,מחשבים,2019-11-17,
מאהר אלבז,ירושלים בית הערבה,זכר,"תש""ף",2004-12-14,בית שמש,אוטוטרוניקה,,
יובל גבאי,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2005-02-03,מעלה אדומים,עיצוב שיער,,
איתי טויטו,ירושלים בית הערבה,זכר,"תשפ""ב",2002-09-30,קרית יערים,תקשוב(חנמ),,2025-11-05
נדב כהן,אורט אדיבי אשקלון,זכר,"תשפ""ד",2003-06-11,גבע בנימין,עיצוב שיער,,
מאהר חוראני,ירושלים בית הערבה,זכר,"תשפ""ג",2000-05-25,מודיעין,,,
מוחמד גבאי,צור ברק,,"תשפ""ד",2003-07-04,אפרת,עיצוב שיער,,
רוני דהן,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2004-10-23,הר אדר,עיצוב שיער,,
טל תורגמן,ירושלים בית הערבה,נקבה,"תשפ""ד",2005-09-21,גבעת זאב,,,
יונתן אלבז,אורט אדיבי אשקלון,זכר,"תשפ""א",2001-08-08,ירושלים,אוטוטרוניקה,,
נתנאל סבג,בית שאן,זכר,"תשפ""א",2006-09-20,גבע בנימין,תקשוב,2023-11-04,
סאמר פרץ,ירושלים בית הערבה,זכר,"תשפ""ד",2005-08-06,אפרת,עיצוב שיער,,
מוחמד סלים,עכו מרום,זכר,"תשפ""ב",2005-04-03,מודיעין,אוטוטרוניקה,,
אלעד אלבז,אורט אדיבי אשקלון,זכר,"תשפ""ב",2003-09-03,מודיעין,עיצוב שיער,,
שחר סרסור,ירושלים בית הערבה,זכר,"תשפ""ג",2003-08-22,מודיעין,עיצוב,,
יובל נחום,ירושלים בית הערבה,זכר,"תשפ""ה",2002-05-05,מודיעין,תקשוב,,
איתי מלכה,ירושלים בית הערבה,זכר,"תשפ""ה",2005-03-14,בית שמש,עיצוב שיער,,
יובל מלכה,מוצקין,זכר,"תשפ""ב",2002-06-10,ירושלים,אוטוטרוניקה,,
בר חוראני,עכו מרום,זכר,"תשפ""ג",2000-11-04,מבשרת ציון,עיצוב שיער,,
מרים פרידמן,אורט אדיבי אשקלון,נקבה,"תשפ""ב",2002-09-06,גבעת זאב,עיצוב(חנמ),,
מיכל שטרית,עכו מרום,נקבה,"תשפ""א",2001-11-23,גבע בנימין,אוטוטרוניקה,,
נתנאל רוזן,ירושלים בית הערבה,זכר,"תשפ""ב",2006-05-25,בית שמש,,,
אדם כרמלי,צור ברק,זכר,"תש""ף",2002-01-31,אפרת,יישומי עיצוב שיער וטיפוח החן,,
עומר סבג,אורט אדיבי אשקלון,זכר,"תש""ף",2002-09-26,אפרת,התמחות יישומי אוטו-טק,,
נועה עטיה,ירושלים בית הערבה,נקבה,"תשפ""ה",2000-10-10,בית שמש,תקשוב,,
אלה לוי,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2003-09-13,הר אדר,עיצוב שיער,,
עלי זכריה,אורט אדיבי אשקלון,זכר,"תשפ""ב",2005-12-06,ירושלים,תקשוב,,
עומר שפירא,ירושלים בית הערבה,זכר,"תשע""ח",2006-10-20,מודיעין,תקשוב,,
יעל סלים,ירושלים בית הערבה,נקבה,"תש""ף",2006-03-27,אבן ספיר,תחזוקת מערכות מכניות,,
ניצן אבו ראס,ירושלים בית הערבה,נקבה,"תשפ""ה",2006-08-14,מודיעין,מערכות הספק פיקוד ובקרה,,
תומר נסראללה,עכו מרום,זכר,"תשפ""ב",2004-12-06,מבשרת ציון,אוטוטרוניקה,,
כרים נחום,ירושלים בית הערבה,זכר,"תשע""ט",2002-08-27,בית שמש,תקשוב(חנמ),,
כרים נאור,ירושלים בית הערבה,זכר,"תשפ""ג",2000-02-08,צור הדסה,מחשבים,,
מאיה פרידמן,עכו מרום,נקבה,"תשפ""ג",2005-05-23,מודיעין,תחזוקת מערכות מכניות,,
גיא שרעבי,ירושלים בית הערבה,זכר,"תשפ""ד",2001-05-12,מבשרת ציון,,,
דניאל אשכנזי,צור ברק,זכר,"תשפ""ג",2001-02-15,הר אדר,עיצוב(חנמ),,
יעל ברששת,עכו מרום,נקבה,"תשפ""ד",2001-07-10,אבן ספיר,תחזוקת מערכות מכניות,,
מאיה נאור,אורט אדיבי אשקלון,נקבה,"תשפ""א",2005-03-15,קרית יערים,תקשוב,,
שירה אלבז,בית שאן,נקבה,"תשפ""ה",2002-09-01,בית שמש,עיצוב(חנמ),,
נור ביטון,עכו מרום,נקבה,"תשפ""ה",2004-11-08,בית שמש,עיצוב,,
גיא תורגמן,אורט אדיבי אשקלון,זכר,"תשפ""ג",2004-07-27,גבע בנימין,מחשבים,,
אביב ברק,ירושלים בית הערבה,זכר,"תשפ""ג",2002-08-11,אבן ספיר,תקשוב,,
שי פרידמן,עכו מרום,זכר,"תשפ""ה",2004-06-19,אפרת,מערכות סיב````ם תיב````ם,,
הילה חדד,מוצקין,נקבה,"תשפ""ד",2007-05-20,,תקשוב,,
עומר אבו ראס,עכו מרום,זכר,"תשפ""ה",2001-07-01,צור הדסה,,,
דניאל ברק,בית שאן,זכר,"תש""ף",2007-06-07,גבעת זאב,התמחות יישומי אוטו-טק,,
אלעד חדד,אורט אדיבי אשקלון,זכר,"תשע""ח",2006-08-18,אפרת,מחשבים,,
אלה קלימי,אורט אדיבי אשקלון,נקבה,"תשפ""ד",2000-06-18,בית שמש,אוטוטרוניקה,,
אסף דוד,ירושלים בית הערבה,זכר,"תשפ""ה",2000-07-19,אבן ספיר,מחשבים,,
נור יפרח,צור ברק,נקבה,"תשפ""ד",2005-12-14,,עיצוב שיער,,
יובל פרידמן,עכו מרום,זכר,"תשפ""ד",2007-03-27,קרית יערים,מחשבים,,
דניאל אבו ראס,ירושלים בית הערבה,זכר,"תשפ""א",2001-04-16,גבעת זאב,תקשוב(חנמ),,
שי שטרית,אורט אדיבי אשקלון,זכר,"תשפ""ד",2003-11-21,צור הדסה,אוטוטרוניקה,,
מאהר לביא,עכו מרום,זכר,"תשפ""ה",2007-01-19,מבשרת ציון,מחשבים,2020-05-12,
הילה סלומון,עכו מרום,נקבה,"תשפ""ג",2001-02-23,בית שמש,,,
ניצן בן שימול,ירושלים בית הערבה,נקבה,"תשפ""ב",2004-10-12,מודיעין,תקשוב,,
נועם אברהם,בית שאן,זכר,"תשפ""ד",2004-04-25,מודיעין,התמחות יישומי אוטו-טק,,
אסף שפירא,ירושלים בית הערבה,זכר,"תשפ""ג",2002-12-01,קרית יערים,מחשבים,,
נועה סלומון,ירושלים בית הערבה,נקבה,"תשפ""א",2003-05-05,צור הדסה,מחשבים,,
עומר כרמלי,עכו מרום,זכר,,2002-07-11,גבעת זאב,תקשוב(חנמ),,
מוחמד תורגמן,ירושלים בית הערבה,זכר,"תשפ""ב",2002-02-13,הר אדר,אוטוטרוניקה,,
דניאל רוזן,אורט אדיבי אשקלון,זכר,"תשפ""א",2000-06-30,הר אדר,תקשוב(חנמ),,
רותם ברששת,ירושלים בית הערבה,נקבה,"תשפ""ה",2006-07-06,בית שמש,,,
חסן שרעבי,ירושלים בית הערבה,זכר,"תשפ""ה",2007-05-04,אפרת,מערכות סיב````ם תיב````ם,,
מאהר מוסקוביץ,ירושלים בית הערבה,זכר,"תשפ""ב",2005-06-05,גבע בנימין,אוטוטרוניקה,2019-03-18,
תמר סלים,עכו מרום,נקבה,"תשפ""ד",2007-12-05,אבן ספיר,עיצוב שיער,,
נועם מלכה,ירושלים בית הערבה,זכר,"תשפ""ד",2002-01-19,קרית יערים,תקשוב,,
רוני אבו ראס,ירושלים בית הערבה,נקבה,"תשפ""ב",2000-08-09,מעלה אדומים,,,
הילה דהן,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2000-02-08,קרית יערים,עיצוב שיער,,
אריאל מנסור,אורט אדיבי אשקלון,זכר,"תשפ""ד",2005-02-09,מודיעין,,,
טל נחום,אורט אדיבי אשקלון,נקבה,"תשפ""א",2000-02-21,אבן ספיר,מערכות תיכון וייצר באמצעות מחשב,,
רן זכריה,ירושלים בית הערבה,זכר,"תשפ""ה",2004-05-22,אפרת,,,
אור עוזרי,עכו מרום,נקבה,"תשפ""ה",2006-02-13,גבע בנימין,,,
יונתן דראושה,בית שאן,זכר,"תשפ""א",2007-07-31,מודיעין,מערכות תיכון וייצר באמצעות מחשב,2020-08-26,
אלה גבאי,ירושלים בית הערבה,נקבה,"תשפ""ה",2001-12-19,הר אדר,,,
נדב קלימי,ירושלים בית הערבה,זכר,"תשפ""ג",2002-02-23,ירושלים,תחזוקת מערכות מכניות,2020-04-24,
אורי רוזן,בית שאן,זכר,"תשפ""ד",2005-03-20,מודיעין,תחזוקת מערכות מכניות(חנמ),2025-02-27,
הילה שפירא,עכו מרום,נקבה,"תשפ""ד",2001-05-09,גבע בנימין,,,
הראל חטיב,מוצקין,זכר,"תשפ""ג",2004-10-20,מעלה אדומים,התמחות יישומי אוטו-טק,2025-07-16,
גיא נסראללה,אורט אדיבי אשקלון,זכר,"תשע""ט",2002-03-14,גבע בנימין,תקשוב,,
רועי חדד,אורט אדיבי אשקלון,זכר,"תשפ""ב",2006-12-12,גבעת זאב,מחשבים,,
סאמר אברהם,עכו מרום,זכר,"תש""ף",2002-05-20,אבן ספיר,תחזוקת מערכות מכניות(חנמ),,
מאהר סרסור,מוצקין,זכר,"תשפ""ד",2002-06-21,מודיעין,מערכות סיב````ם תיב````ם,,
יוסף רחמים,עכו מרום,זכר,"תשפ""ב",2007-05-13,קרית יערים,,,
מוחמד לוי,ירושלים בית הערבה,זכר,"תשפ""ג",2004-12-18,אפרת,יישומי עיצוב שיער וטיפוח החן,,
עמית דוד,צור ברק,זכר,"תשפ""א",2002-01-11,הר אדר,עיצוב שיער,,
איתי יפרח,אורט אדיבי אשקלון,זכר,"תשפ""ב",2001-12-10,קרית יערים,,,
דנה אוחיון,עכו מרום,נקבה,"תשפ""ג",2003-07-08,מודיעין,מסגרות מבנים,,
ליאור מוסקוביץ,אורט אדיבי אשקלון,זכר,"תשע""ט",2000-08-26,,תחזוקת מערכות מכניות,2020-12-19,
עומר אוחיון,אורט אדיבי אשקלון,זכר,"תשפ""ה",2006-04-23,מבשרת ציון,,,
רן כרמלי,ירושלים בית הערבה,זכר,"תשפ""ד",2000-04-11,אבן ספיר,מערכות סיב````ם תיב````ם,,
רועי כהן,אורט אדיבי אשקלון,זכר,"תשפ""ה",2003-05-07,אבן ספיר,תחזוקת מערכות מכניות,,
אמל דהן,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2004-07-11,גבעת זאב,אוטוטרוניקה,,
אור טל,בית שאן,נקבה,"תשפ""ה",2003-10-27,גבעת זאב,תחזוקת מערכות מכניות(חנמ),,
מיכל נחום,ירושלים בית הערבה,נקבה,"תשפ""ב",2005-10-08,קרית יערים,עיצוב,,
נור סלומון,ירושלים בית הערבה,נקבה,"תשפ""ד",2000-10-02,קרית יערים,,,
מרים זועבי,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2005-06-10,אפרת,תחזוקת מערכות מכניות,,
עידו גבאי,ירושלים בית הערבה,זכר,"תש""ף",2000-08-24,מעלה אדומים,תקשוב,,
נטע סרסור,אורט אדיבי אשקלון,נקבה,"תש""ף",2005-05-21,אבן ספיר,עיצוב(חנמ),,
הראל סלים,מוצקין,זכר,"תשפ""ב",2000-03-07,קרית יערים,אוטוטרוניקה,,
ליאור אבו ראס,אורט אדיבי אשקלון,זכר,"תש""ף",2004-06-21,מעלה אדומים,אוטוטרוניקה,,
מיכל מזרחי,אורט אדיבי אשקלון,נקבה,"תשפ""ה",2001-11-20,מודיעין,עיצוב שיער,,
עדי נחום,ירושלים בית הערבה,נקבה,"תשפ""ג",2003-05-15,גבעת זאב,עיצוב(חנמ),,
אלעד שפירא,בית שאן,זכר,"תשפ""א",2003-04-30,גבע בנימין,התמחות יישומי אוטו-טק,,
עמית פרידמן,עכו מרום,זכר,"תשפ""ה",2000-01-02,מבשרת ציון,עיצוב שיער,,
יובל אברהם,עכו מרום,זכר,"תשפ""ד",2007-05-11,בית שמש,מחשבים,,
סאמר ברק,ירושלים בית הערבה,זכר,"תשע""ח",2005-04-06,בית שמש,אוטוטרוניקה,,
נטע חוראני,מוצקין,נקבה,"תשפ""ב",2000-06-08,בית שמש,תחזוקת מערכות מכניות,,
תומר כהן,עכו מרום,זכר,"תשפ""ד",2005-10-18,צור הדסה,תקשוב(חנמ),2021-11-17,
נטע עבד אלחק,ירושלים בית הערבה,נקבה,"תשפ""ד",2007-07-20,מבשרת ציון,תחזוקת מערכות מכניות,2020-06-25,
דניאל שטרית,בית שאן,זכר,"תשפ""ה",2007-11-13,אבן ספיר,התמחות יישומי אוטו-טק,2019-12-16,
יהונתן ברששת,עכו מרום,זכר,"תשפ""ג",2000-12-26,,מחשבים,,
תומר אגבאריה,עכו מרום,זכר,"תש""ף",2007-02-26,קרית יערים,תקשוב,2023-01-18,
אדם דראושה,ירושלים בית הערבה,זכר,"תשפ""ד",2002-03-14,אבן ספיר,,,
ספיר ברק,אורט אדיבי אשקלון,נקבה,"תשפ""ג",2000-04-08,אפרת,תחזוקת מערכות מכניות,,
שחר טויטו,ירושלים בית הערבה,זכר,"תשפ""ד",2004-12-11,אפרת,מערכות הספק פיקוד ובקרה,,
